case_no,rpm,p_amb_bar,t_amb_C,throttle_pct,alt_ft,power_kW,fuelflow_kgh,p_plenum_bar,t_plenum_K
1335,4000,0.644,-24,84.5,11998,27.90300749,8.48,0.6588,253.65
1336,4000,0.572,-30,84.5,15000,24.63934517,7.54,0.5682,247.95
1337,4000,0.527,-34,84.5,17001,22.35469795,6.91,0.5098,244.15
1338,4000,0.485,-38,84.5,18999,20.2454765,6.35,0.4553,240.15
1339,4000,0.446,-42,84.5,21001,18.40786473,5.90,0.4059,235.95
1340,4000,0.410,-46,84.5,22999,16.82205366,5.55,0.3633,231.85
1341,4000,1.013,0,72,0,29.21204198,9.03,0.7672,276.15
1342,4000,0.908,-6,72,2999,27.44146012,8.38,0.7199,270.35
1343,4000,0.812,-12,72,5997,24.463784,7.71,0.6527,264.65
1344,4000,0.724,-18,72,8999,20.91148991,7.03,0.5775,258.95
1345,4000,0.644,-24,72,11998,17.61324498,6.39,0.5042,253.05
1346,4000,0.572,-30,72,15000,14.83151351,5.82,0.4376,247.05
1347,4000,0.527,-34,72,17001,13.18071965,5.48,0.3976,243.05
1348,4000,0.485,-38,72,18999,11.70941712,5.18,0.3628,239.05
1349,4000,0.446,-42,72,21001,10.43197967,4.94,0.3340,234.95
1350,4000,0.410,-46,72,22999,9.351427517,4.74,0.3111,230.95
1351,4000,1.013,0,56.5,0,14.8065624,5.86,0.5086,276.05
1352,4000,0.908,-6,56.5,2999,13.29838274,5.32,0.4728,270.25
1353,4000,0.812,-12,56.5,5997,11.42582762,4.84,0.4355,264.45
1354,4000,0.724,-18,56.5,8999,9.329191723,4.38,0.3924,258.75
1355,4000,0.644,-24,56.5,11998,7.343382067,3.95,0.3479,252.85
1356,4000,0.572,-30,56.5,15000,5.755748934,3.59,0.3116,246.95
1357,4000,0.527,-34,56.5,17001,4.987435164,3.43,0.2939,242.95
1358,4000,0.485,-38,56.5,18999,4.467412064,3.34,0.2820,239.05
1359,4000,0.446,-42,56.5,21001,4.17768299,3.32,0.2757,234.95
1360,4000,0.410,-46,56.5,22999,4.078697754,3.36,0.2737,230.95
1361,3500,1.013,0,100,0,47.71700928,14.21,1.1734,275.15
1362,3500,0.908,-6,100,2999,44.91497693,13.56,1.1574,269.45
1363,3500,0.812,-12,100,5997,41.02377209,12.91,1.0469,263.85
1364,3500,0.724,-18,100,8999,37.56761809,12.23,0.9271,258.25
1365,3500,0.644,-24,100,11998,33.17086145,11.02,0.7710,252.65
1366,3500,0.572,-30,100,15000,27.64339859,9.40,0.5839,247.15
1367,3500,0.527,-34,100,17001,24.08598193,8.36,0.4578,243.25
1368,3500,0.485,-38,100,18999,21.06990208,7.47,0.3438,239.25
1369,3500,0.446,-42,100,21001,18.68658525,6.74,0.2511,235.25
1370,3500,0.410,-46,100,22999,16.89044021,6.19,0.1854,231.35
1371,3500,1.013,0,99.4,0,47.25041649,13.84,1.1750,275.15
1372,3500,0.908,-6,99.4,2999,44.43887682,13.14,1.1580,269.45
1373,3500,0.812,-12,99.4,5997,40.42745745,12.42,1.0438,263.85
1374,3500,0.724,-18,99.4,8999,36.84216481,11.63,0.9216,258.25
1375,3500,0.644,-24,99.4,11998,32.41292851,10.39,0.7663,252.65
1376,3500,0.572,-30,99.4,15000,26.94085172,8.82,0.5808,247.15
1377,3500,0.527,-34,99.4,17001,23.44596351,7.84,0.4554,243.25
1378,3500,0.485,-38,99.4,18999,20.49379967,7.00,0.3416,239.35
1379,3500,0.446,-42,99.4,21001,18.1640711,6.32,0.2488,235.35
1380,3500,0.410,-46,99.4,22999,16.40475924,5.81,0.1828,231.35
1381,3500,1.013,0,98.8,0,46.83346675,13.54,1.1752,275.15
1382,3500,0.908,-6,98.8,2999,44.05386359,12.81,1.1578,269.45
1383,3500,0.812,-12,98.8,5997,39.95332325,12.03,1.0405,263.85
1384,3500,0.724,-18,98.8,8999,36.22867118,11.14,0.9159,258.25
1385,3500,0.644,-24,98.8,11998,31.76207839,9.86,0.7620,252.65
1386,3500,0.572,-30,98.8,15000,26.37331804,8.36,0.5792,247.15
1387,3500,0.527,-34,98.8,17001,22.96031694,7.44,0.4550,243.35
1388,3500,0.485,-38,98.8,18999,20.08544457,6.65,0.3420,239.35
1389,3500,0.446,-42,98.8,21001,17.81239633,6.02,0.2494,235.35
1390,3500,0.410,-46,98.8,22999,16.08303957,5.54,0.1831,231.35
1391,3500,1.013,0,97.4,0,45.99654726,13.03,1.1697,275.05
1392,3500,0.908,-6,97.4,2999,43.3857552,12.32,1.1526,269.35
1393,3500,0.812,-12,97.4,5997,39.1863007,11.44,1.0311,263.85
1394,3500,0.724,-18,97.4,8999,35.13610943,10.35,0.9022,258.15
1395,3500,0.644,-24,97.4,11998,30.59103205,9.01,0.7531,252.65
1396,3500,0.572,-30,97.4,15000,25.48504997,7.65,0.5794,247.15
1397,3500,0.527,-34,97.4,17001,22.32024178,6.85,0.4603,243.45
1398,3500,0.485,-38,97.4,18999,19.65738397,6.19,0.3507,239.45
1399,3500,0.446,-42,97.4,21001,17.52228191,5.67,0.2596,235.35
1400,3500,0.410,-46,97.4,22999,15.84305666,5.26,0.1927,231.25
1401,3500,1.013,0,94.1,0,43.54677242,12.36,1.1258,274.95
1402,3500,0.908,-6,94.1,2999,41.18368241,11.82,1.1050,269.25
1403,3500,0.812,-12,94.1,5997,37.23099558,11.05,0.9914,263.75
1404,3500,0.724,-18,94.1,8999,32.88561257,9.85,0.8652,258.15
1405,3500,0.644,-24,94.1,11998,28.57078353,8.52,0.7334,252.55
1406,3500,0.572,-30,94.1,15000,24.44784746,7.37,0.5882,246.85
1407,3500,0.527,-34,94.1,17001,21.98484366,6.74,0.4872,242.95
1408,3500,0.485,-38,94.1,18999,19.85839073,6.23,0.3917,238.95
1409,3500,0.446,-42,94.1,21001,18.03021052,5.82,0.3084,234.75
1410,3500,0.410,-46,94.1,22999,16.4296235,5.49,0.2427,230.55
1411,3500,1.013,0,84.5,0,35.8785248,10.59,0.9564,274.75
1412,3500,0.908,-6,84.5,2999,33.16320415,9.73,0.9251,268.95
1413,3500,0.812,-12,84.5,5997,29.64856715,8.87,0.8514,263.25
1414,3500,0.724,-18,84.5,8999,26.18765695,8.06,0.7550,257.35
1415,3500,0.644,-24,84.5,11998,23.39579674,7.29,0.6523,251.65
1416,3500,0.572,-30,84.5,15000,20.5108466,6.47,0.5536,245.85
1417,3500,0.527,-34,84.5,17001,18.53264863,5.93,0.4910,241.95
1418,3500,0.485,-38,84.5,18999,16.74483597,5.46,0.4330,238.05
1419,3500,0.446,-42,84.5,21001,15.21387446,5.09,0.3809,234.05
1420,3500,0.410,-46,84.5,22999,13.90512441,4.80,0.3364,230.05
1421,3500,1.013,0,72,0,27.5800486,8.49,0.8165,274.55
1422,3500,0.908,-6,72,2999,25.56632015,7.76,0.7736,268.75
1423,3500,0.812,-12,72,5997,22.74482824,7.12,0.7045,262.95
1424,3500,0.724,-18,72,8999,19.44774883,6.51,0.6238,257.25
1425,3500,0.644,-24,72,11998,16.29896388,5.93,0.5439,251.55
1426,3500,0.572,-30,72,15000,13.65590728,5.43,0.4715,245.75
1427,3500,0.527,-34,72,17001,12.14598509,5.13,0.4280,241.95
1428,3500,0.485,-38,72,18999,10.85478015,4.88,0.3902,237.95
1429,3500,0.446,-42,72,21001,9.778171648,4.68,0.3586,234.05
1430,3500,0.410,-46,72,22999,8.896519654,4.53,0.3333,230.05
1431,3500,1.013,0,56.5,0,15.50524655,5.92,0.5700,274.75
1432,3500,0.908,-6,56.5,2999,13.79313618,5.29,0.5372,268.85
1433,3500,0.812,-12,56.5,5997,11.87173756,4.74,0.5000,262.95
1434,3500,0.724,-18,56.5,8999,9.907081126,4.23,0.4542,257.15
1435,3500,0.644,-24,56.5,11998,7.95778372,3.78,0.4035,251.35
1436,3500,0.572,-30,56.5,15000,6.300116855,3.41,0.3599,245.55
1437,3500,0.527,-34,56.5,17001,5.486066098,3.24,0.3373,241.75
1438,3500,0.485,-38,56.5,18999,4.948907571,3.15,0.3211,237.85
1439,3500,0.446,-42,56.5,21001,4.673444986,3.15,0.3111,233.95
1440,3500,0.410,-46,56.5,22999,4.608742255,3.21,0.3059,229.95
1441,4000,1.013,15,100,0,61.56535451,18.54,1.2801,291.85
1442,4000,0.908,9,100,2999,59.44482061,17.69,1.2843,286.05
1443,4000,0.812,3,100,5997,55.78870188,16.92,1.2121,280.25
1444,4000,0.724,-3,100,8999,52.82790932,16.37,1.1240,274.45
1445,4000,0.644,-9,100,11998,48.53740077,15.37,1.0019,268.65
1446,4000,0.572,-15,100,15000,42.2147823,13.74,0.8520,262.75
1447,4000,0.527,-19,100,17001,38.55328403,12.70,0.7475,258.65
1448,4000,0.485,-23,100,18999,35.54954266,11.74,0.6402,254.65
1449,4000,0.446,-27,100,21001,32.83668766,10.82,0.5329,250.65
1450,4000,0.410,-31,100,22999,30.29161765,9.99,0.4387,246.75
1451,4000,1.013,15,99.4,0,60.53996907,17.93,1.2696,291.75
1452,4000,0.908,9,99.4,2999,58.2409327,16.95,1.2694,285.95
1453,4000,0.812,3,99.4,5997,54.4185316,16.07,1.1930,280.25
1454,4000,0.724,-3,99.4,8999,51.32879522,15.43,1.1040,274.45
1455,4000,0.644,-9,99.4,11998,47.01557044,14.44,0.9851,268.65
1456,4000,0.572,-15,99.4,15000,40.89417868,12.97,0.8402,262.75
1457,4000,0.527,-19,99.4,17001,37.40759301,12.04,0.7382,258.75
1458,4000,0.485,-23,99.4,18999,34.56136324,11.18,0.6325,254.65
1459,4000,0.446,-27,99.4,21001,31.97687592,10.35,0.5263,250.75
1460,4000,0.410,-31,99.4,22999,29.53087134,9.60,0.4330,246.75
1461,4000,1.013,15,98.8,0,59.5358668,17.38,1.2578,291.75
1462,4000,0.908,9,98.8,2999,57.0950215,16.31,1.2537,285.95
1463,4000,0.812,3,98.8,5997,53.1749902,15.34,1.1738,280.25
1464,4000,0.724,-3,98.8,8999,49.94638517,14.61,1.0841,274.45
1465,4000,0.644,-9,98.8,11998,45.6058153,13.62,0.9692,268.65
1466,4000,0.572,-15,98.8,15000,39.72229529,12.29,0.8305,262.75
1467,4000,0.527,-19,98.8,17001,36.41642383,11.47,0.7313,258.75
1468,4000,0.485,-23,98.8,18999,33.72075236,10.71,0.6273,254.75
1469,4000,0.446,-27,98.8,21001,31.25652382,9.96,0.5227,250.75
1470,4000,0.410,-31,98.8,22999,28.89681917,9.28,0.4305,246.85
1471,4000,1.013,15,97.4,0,57.27554321,16.27,1.2257,291.65
1472,4000,0.908,9,97.4,2999,54.62081866,15.11,1.2140,285.85
1473,4000,0.812,3,97.4,5997,50.68137554,14.04,1.1288,280.15
1474,4000,0.724,-3,97.4,8999,47.12141289,13.13,1.0387,274.45
1475,4000,0.644,-9,97.4,11998,42.72103008,12.12,0.9346,268.65
1476,4000,0.572,-15,97.4,15000,37.46485727,11.06,0.8129,262.95
1477,4000,0.527,-19,97.4,17001,34.5700879,10.44,0.7212,258.95
1478,4000,0.485,-23,97.4,18999,32.1887855,9.86,0.6223,254.95
1479,4000,0.446,-27,97.4,21001,29.96381666,9.30,0.5226,250.95
1480,4000,0.410,-31,97.4,22999,27.76853813,8.76,0.4336,247.05
1481,4000,1.013,15,94.1,0,51.67561331,14.46,1.1347,291.45
1482,4000,0.908,9,94.1,2999,48.90754353,13.54,1.1099,285.75
1483,4000,0.812,3,94.1,5997,45.45154481,12.71,1.0258,280.05
1484,4000,0.724,-3,94.1,8999,41.46952677,11.71,0.9417,274.35
1485,4000,0.644,-9,94.1,11998,37.23976363,10.67,0.8615,268.65
1486,4000,0.572,-15,94.1,15000,33.20687732,9.76,0.7736,262.95
1487,4000,0.527,-19,94.1,17001,30.93291902,9.25,0.6999,259.25
1488,4000,0.485,-23,94.1,18999,28.96026344,8.79,0.6168,255.45
1489,4000,0.446,-27,94.1,21001,27.06570452,8.38,0.5320,251.65
1490,4000,0.410,-31,94.1,22999,25.14814842,8.00,0.4532,247.85
1491,4000,1.013,15,84.5,0,40.30114091,11.73,0.9291,291.25
1492,4000,0.908,9,84.5,2999,38.12387324,10.89,0.9008,285.55
1493,4000,0.812,3,84.5,5997,34.96709047,10.00,0.8433,279.95
1494,4000,0.724,-3,84.5,8999,31.23813373,9.11,0.7673,274.35
1495,4000,0.644,-9,84.5,11998,27.54947579,8.23,0.6812,268.85
1496,4000,0.572,-15,84.5,15000,23.77028313,7.24,0.5958,263.35
1497,4000,0.527,-19,84.5,17001,21.18003389,6.58,0.5403,259.55
1498,4000,0.485,-23,84.5,18999,18.84522064,5.98,0.4876,255.45
1499,4000,0.446,-27,84.5,21001,16.87331497,5.51,0.4385,251.35
1500,4000,0.410,-31,84.5,22999,15.24941068,5.15,0.3938,247.05
1501,4000,1.013,15,72,0,28.43929604,8.84,0.7683,290.85
1502,4000,0.908,9,72,2999,26.68342253,8.15,0.7209,284.95
1503,4000,0.812,3,72,5997,23.75738458,7.48,0.6512,279.25
1504,4000,0.724,-3,72,8999,20.15297086,6.80,0.5742,273.45
1505,4000,0.644,-9,72,11998,16.79457866,6.16,0.5019,267.65
1506,4000,0.572,-15,72,15000,14.00847536,5.59,0.4372,261.85
1507,4000,0.527,-19,72,17001,12.36828355,5.26,0.3971,257.95
1508,4000,0.485,-23,72,18999,10.89567812,4.96,0.3609,254.05
1509,4000,0.446,-27,72,21001,9.592955722,4.72,0.3297,250.05
1510,4000,0.410,-31,72,22999,8.481850989,4.52,0.3041,246.05
1511,4000,1.013,15,56.5,0,14.3951851,5.85,0.5087,290.65
1512,4000,0.908,9,56.5,2999,12.91861956,5.30,0.4714,284.75
1513,4000,0.812,3,56.5,5997,11.07487078,4.81,0.4334,278.95
1514,4000,0.724,-3,56.5,8999,8.929916623,4.34,0.3892,273.25
1515,4000,0.644,-9,56.5,11998,6.875056547,3.88,0.3420,267.45
1516,4000,0.572,-15,56.5,15000,5.193210514,3.48,0.3009,261.65
1517,4000,0.527,-19,56.5,17001,4.363686549,3.30,0.2793,257.75
1518,4000,0.485,-23,56.5,18999,3.783401364,3.19,0.2636,253.95
1519,4000,0.446,-27,56.5,21001,3.429271098,3.16,0.2537,249.95
1520,4000,0.410,-31,56.5,22999,3.282879912,3.20,0.2490,245.95
1521,3500,1.013,15,100,0,47.08863973,14.13,1.1434,290.05
1522,3500,0.908,9,100,2999,44.29343751,13.47,1.1734,284.25
1523,3500,0.812,3,100,5997,40.4137381,12.80,1.1025,278.65
1524,3500,0.724,-3,100,8999,37.05820679,12.04,1.0046,273.05
1525,3500,0.644,-9,100,11998,32.43979646,10.76,0.8746,267.45
1526,3500,0.572,-15,100,15000,26.24355161,9.09,0.7041,261.95
1527,3500,0.527,-19,100,17001,22.32638876,8.05,0.5847,258.05
1528,3500,0.485,-23,100,18999,19.12608941,7.17,0.4686,254.25
1529,3500,0.446,-27,100,21001,16.65048172,6.46,0.3613,250.35
1530,3500,0.410,-31,100,22999,14.80347136,5.90,0.2714,246.35
1531,3500,1.013,15,99.4,0,46.57671213,13.76,1.1430,290.05
1532,3500,0.908,9,99.4,2999,43.79472648,13.04,1.1716,284.25
1533,3500,0.812,3,99.4,5997,39.84058351,12.30,1.0972,278.65
1534,3500,0.724,-3,99.4,8999,36.37766253,11.44,0.9972,273.05
1535,3500,0.644,-9,99.4,11998,31.7392519,10.11,0.8685,267.45
1536,3500,0.572,-15,99.4,15000,25.59986044,8.50,0.7011,261.95
1537,3500,0.527,-19,99.4,17001,21.7420671,7.52,0.5831,258.15
1538,3500,0.485,-23,99.4,18999,18.60431779,6.70,0.4677,254.25
1539,3500,0.446,-27,99.4,21001,16.18068837,6.03,0.3606,250.35
1540,3500,0.410,-31,99.4,22999,14.36824371,5.51,0.2704,246.25
1541,3500,1.013,15,98.8,0,46.11382094,13.46,1.1414,290.05
1542,3500,0.908,9,98.8,2999,43.38893814,12.71,1.1686,284.25
1543,3500,0.812,3,98.8,5997,39.40528935,11.90,1.0913,278.65
1544,3500,0.724,-3,98.8,8999,35.81855071,10.94,0.9894,273.05
1545,3500,0.644,-9,98.8,11998,31.14724165,9.58,0.8623,267.45
1546,3500,0.572,-15,98.8,15000,25.10214318,8.03,0.6991,261.95
1547,3500,0.527,-19,98.8,17001,21.32906268,7.11,0.5831,258.15
1548,3500,0.485,-23,98.8,18999,18.26570487,6.34,0.4689,254.35
1549,3500,0.446,-27,98.8,21001,15.89634262,5.72,0.3624,250.35
1550,3500,0.410,-31,98.8,22999,14.11067708,5.23,0.2723,246.35
1551,3500,1.013,15,97.4,0,45.17292855,12.93,1.1331,290.05
1552,3500,0.908,9,97.4,2999,42.68156388,12.21,1.1570,284.25
1553,3500,0.812,3,97.4,5997,38.76806292,11.30,1.0750,278.55
1554,3500,0.724,-3,97.4,8999,34.87124029,10.15,0.9695,272.95
1555,3500,0.644,-9,97.4,11998,30.10852214,8.72,0.8473,267.45
1556,3500,0.572,-15,97.4,15000,24.39748797,7.31,0.6967,261.95
1557,3500,0.527,-19,97.4,17001,20.89294778,6.52,0.5872,258.35
1558,3500,0.485,-23,97.4,18999,18.04052606,5.86,0.4774,254.45
1559,3500,0.446,-27,97.4,21001,15.80029918,5.34,0.3741,250.45
1560,3500,0.410,-31,97.4,22999,14.05838048,4.92,0.2855,246.35
1561,3500,1.013,15,94.1,0,42.57047866,12.24,1.0906,289.95
1562,3500,0.908,9,94.1,2999,40.46530615,11.70,1.1009,284.15
1563,3500,0.812,3,94.1,5997,37.08235935,10.94,1.0185,278.45
1564,3500,0.724,-3,94.1,8999,32.86199141,9.69,0.9151,272.85
1565,3500,0.644,-9,94.1,11998,28.2657493,8.29,0.8082,267.25
1566,3500,0.572,-15,94.1,15000,23.68462375,7.08,0.6886,261.65
1567,3500,0.527,-19,94.1,17001,20.96663894,6.43,0.5989,257.75
1568,3500,0.485,-23,94.1,18999,18.68186723,5.89,0.5060,253.85
1569,3500,0.446,-27,94.1,21001,16.75640106,5.46,0.4161,249.75
1570,3500,0.410,-31,94.1,22999,15.09083246,5.12,0.3356,245.55
1571,3500,1.013,15,84.5,0,34.97139035,10.46,0.9434,289.75
1572,3500,0.908,9,84.5,2999,32.52629545,9.58,0.9252,283.95
1573,3500,0.812,3,84.5,5997,29.45447294,8.69,0.8625,278.05
1574,3500,0.724,-3,84.5,8999,26.1183428,7.86,0.7751,272.15
1575,3500,0.644,-9,84.5,11998,22.87296652,7.05,0.6789,266.25
1576,3500,0.572,-15,84.5,15000,19.55010027,6.19,0.5860,260.35
1577,3500,0.527,-19,84.5,17001,17.31168346,5.62,0.5268,256.45
1578,3500,0.485,-23,84.5,18999,15.34651473,5.12,0.4711,252.65
1579,3500,0.446,-27,84.5,21001,13.72329707,4.73,0.4194,248.85
1580,3500,0.410,-31,84.5,22999,12.40471668,4.44,0.3726,244.95
1581,3500,1.013,15,72,0,26.79735509,8.31,0.8208,289.45
1582,3500,0.908,9,72,2999,24.78584761,7.55,0.7809,283.45
1583,3500,0.812,3,72,5997,22.02622296,6.91,0.7106,277.55
1584,3500,0.724,-3,72,8999,18.72903622,6.29,0.6280,271.75
1585,3500,0.644,-9,72,11998,15.51958045,5.72,0.5480,265.95
1586,3500,0.572,-15,72,15000,12.82919488,5.22,0.4761,260.25
1587,3500,0.527,-19,72,17001,11.29874596,4.93,0.4321,256.45
1588,3500,0.485,-23,72,18999,9.984936223,4.68,0.3928,252.55
1589,3500,0.446,-27,72,21001,8.875886258,4.48,0.3590,248.75
1590,3500,0.410,-31,72,22999,7.969695346,4.32,0.3309,244.85
1591,3500,1.013,15,56.5,0,15.03080427,5.90,0.5699,289.65
1592,3500,0.908,9,56.5,2999,13.33308151,5.26,0.5362,283.55
1593,3500,0.812,3,56.5,5997,11.42446212,4.70,0.4987,277.65
1594,3500,0.724,-3,56.5,8999,9.40395675,4.18,0.4529,271.75
1595,3500,0.644,-9,56.5,11998,7.428097231,3.70,0.4007,265.85
1596,3500,0.572,-15,56.5,15000,5.685318001,3.30,0.3524,260.15
1597,3500,0.527,-19,56.5,17001,4.802253831,3.11,0.3258,256.25
1598,3500,0.485,-23,56.5,18999,4.196419564,3.01,0.3054,252.45
1599,3500,0.446,-27,56.5,21001,3.854754416,2.99,0.2915,248.55
1600,3500,0.410,-31,56.5,22999,3.748643281,3.04,0.2835,244.65
1601,4000,1.013,30,100,0,60.59954923,18.45,1.2160,306.55
1602,4000,0.908,24,100,2999,58.62555151,17.58,1.2561,300.95
1603,4000,0.812,18,100,5997,55.43851367,16.80,1.2235,295.25
1604,4000,0.724,12,100,8999,52.62920289,16.16,1.1605,289.45
1605,4000,0.644,6,100,11998,47.6189522,15.03,1.0491,283.65
1606,4000,0.572,0,100,15000,39.84726319,13.27,0.9097,277.75
1607,4000,0.527,-4,100,17001,35.79301056,12.23,0.8246,273.75
1608,4000,0.485,-8,100,18999,32.99780472,11.37,0.7483,269.75
1609,4000,0.446,-12,100,21001,30.76443555,10.54,0.6724,265.75
1610,4000,0.410,-16,100,22999,28.48411413,9.73,0.5889,261.85
1611,4000,1.013,30,99.4,0,59.52155174,17.84,1.2040,306.45
1612,4000,0.908,24,99.4,2999,57.3798194,16.85,1.2395,300.85
1613,4000,0.812,18,99.4,5997,54.05279743,15.94,1.2022,295.25
1614,4000,0.724,12,99.4,8999,51.12192403,15.21,1.1373,289.45
1615,4000,0.644,6,99.4,11998,46.10839424,14.09,1.0289,283.65
1616,4000,0.572,0,99.4,15000,38.59662356,12.51,0.8961,277.85
1617,4000,0.527,-4,99.4,17001,34.74325899,11.59,0.8150,273.85
1618,4000,0.485,-8,99.4,18999,32.10678978,10.81,0.7411,269.85
1619,4000,0.446,-12,99.4,21001,29.96857971,10.06,0.6659,265.85
1620,4000,0.410,-16,99.4,22999,27.75546826,9.31,0.5827,261.95
1621,4000,1.013,30,98.8,0,58.463914,17.28,1.1909,306.45
1622,4000,0.908,24,98.8,2999,56.18840528,16.19,1.2219,300.85
1623,4000,0.812,18,98.8,5997,52.78536281,15.20,1.1803,295.25
1624,4000,0.724,12,98.8,8999,49.72471513,14.38,1.1136,289.45
1625,4000,0.644,6,98.8,11998,44.71917275,13.26,1.0091,283.65
1626,4000,0.572,0,98.8,15000,37.53730949,11.84,0.8842,277.95
1627,4000,0.527,-4,98.8,17001,33.88681392,11.03,0.8075,273.95
1628,4000,0.485,-8,98.8,18999,31.38187309,10.33,0.7357,269.95
1629,4000,0.446,-12,98.8,21001,29.31244353,9.65,0.6609,265.95
1630,4000,0.410,-16,98.8,22999,27.15076814,8.96,0.5782,262.05
1631,4000,1.013,30,97.4,0,56.07845628,16.16,1.1572,306.35
1632,4000,0.908,24,97.4,2999,53.59695912,14.98,1.1778,300.65
1633,4000,0.812,18,97.4,5997,50.21430645,13.88,1.1278,295.15
1634,4000,0.724,12,97.4,8999,46.85134587,12.89,1.0577,289.45
1635,4000,0.644,6,97.4,11998,41.90657717,11.78,0.9643,283.75
1636,4000,0.572,0,97.4,15000,35.63911946,10.65,0.8606,278.05
1637,4000,0.527,-4,97.4,17001,32.43728027,10.02,0.7946,274.15
1638,4000,0.485,-8,97.4,18999,30.14678209,9.47,0.7270,270.25
1639,4000,0.446,-12,97.4,21001,28.16040801,8.92,0.6529,266.25
1640,4000,0.410,-16,97.4,22999,26.07509667,8.37,0.5720,262.35
1641,4000,1.013,30,94.1,0,50.24197543,14.34,1.0683,306.25
1642,4000,0.908,24,94.1,2999,47.60238092,13.39,1.0669,300.55
1643,4000,0.812,18,94.1,5997,44.80356757,12.54,1.0076,294.95
1644,4000,0.724,12,94.1,8999,41.12882274,11.50,0.9379,289.35
1645,4000,0.644,6,94.1,11998,36.61069308,10.40,0.8691,283.75
1646,4000,0.572,0,94.1,15000,32.03486599,9.43,0.8033,278.15
1647,4000,0.527,-4,94.1,17001,29.46719793,8.88,0.7552,274.55
1648,4000,0.485,-8,94.1,18999,27.35260365,8.40,0.6973,270.85
1649,4000,0.446,-12,94.1,21001,25.42266867,7.96,0.6300,267.15
1650,4000,0.410,-16,94.1,22999,23.48814461,7.55,0.5582,263.45
1651,4000,1.013,30,84.5,0,39.02281377,11.61,0.8934,306.05
1652,4000,0.908,24,84.5,2999,37.04057966,10.75,0.8714,300.45
1653,4000,0.812,18,84.5,5997,34.37557027,9.84,0.8203,294.85
1654,4000,0.724,12,84.5,8999,30.96923688,8.92,0.7509,289.35
1655,4000,0.644,6,84.5,11998,26.81058998,7.99,0.6722,283.85
1656,4000,0.572,0,84.5,15000,22.5211242,6.96,0.5934,278.45
1657,4000,0.527,-4,84.5,17001,19.66116286,6.26,0.5425,274.65
1658,4000,0.485,-8,84.5,18999,17.13340195,5.64,0.4951,270.65
1659,4000,0.446,-12,84.5,21001,15.06242732,5.14,0.4513,266.55
1660,4000,0.410,-16,84.5,22999,13.40868522,4.77,0.4108,262.35
1661,4000,1.013,30,72,0,27.58143063,8.67,0.7619,305.65
1662,4000,0.908,24,72,2999,25.76847204,7.94,0.7163,299.75
1663,4000,0.812,18,72,5997,22.91034144,7.25,0.6442,293.95
1664,4000,0.724,12,72,8999,19.3233888,6.57,0.5645,288.05
1665,4000,0.644,6,72,11998,15.94186016,5.94,0.4925,282.15
1666,4000,0.572,0,72,15000,13.16909609,5.38,0.4312,276.45
1667,4000,0.527,-4,72,17001,11.55860507,5.05,0.3937,272.55
1668,4000,0.485,-8,72,18999,10.11366703,4.76,0.3590,268.75
1669,4000,0.446,-12,72,21001,8.818817905,4.52,0.3277,264.85
1670,4000,0.410,-16,72,22999,7.686636364,4.32,0.3006,260.95
1671,4000,1.013,30,56.5,0,14.07346175,5.85,0.5118,305.45
1672,4000,0.908,24,56.5,2999,12.58959493,5.29,0.4713,299.45
1673,4000,0.812,18,56.5,5997,10.79480768,4.79,0.4316,293.55
1674,4000,0.724,12,56.5,8999,8.653577637,4.31,0.3870,287.65
1675,4000,0.644,6,56.5,11998,6.54649934,3.82,0.3392,281.95
1676,4000,0.572,0,56.5,15000,4.786446081,3.40,0.2965,276.25
1677,4000,0.527,-4,56.5,17001,3.904973298,3.19,0.2730,272.35
1678,4000,0.485,-8,56.5,18999,3.276574162,3.07,0.2545,268.55
1679,4000,0.446,-12,56.5,21001,2.869900873,3.03,0.2414,264.65
1680,4000,0.410,-16,56.5,22999,2.666031172,3.05,0.2335,260.75
1681,3500,1.013,30,100,0,46.3634923,14.09,1.0482,305.15
1682,3500,0.908,24,100,2999,43.60586734,13.43,1.1085,299.45
1683,3500,0.812,18,100,5997,39.87115743,12.75,1.0854,293.65
1684,3500,0.724,12,100,8999,36.64965622,11.90,1.0143,287.95
1685,3500,0.644,6,100,11998,31.83481128,10.54,0.9039,282.35
1686,3500,0.572,0,100,15000,25.05120773,8.84,0.7656,276.85
1687,3500,0.527,-4,100,17001,20.81198524,7.82,0.6716,272.95
1688,3500,0.485,-8,100,18999,17.50013261,6.98,0.5826,269.05
1689,3500,0.446,-12,100,21001,15.04597781,6.30,0.4965,265.05
1690,3500,0.410,-16,100,22999,13.182314,5.73,0.4112,261.15
1691,3500,1.013,30,99.4,0,45.78546782,13.72,1.0450,305.15
1692,3500,0.908,24,99.4,2999,43.0442213,12.99,1.1029,299.35
1693,3500,0.812,18,99.4,5997,39.28726471,12.23,1.0766,293.65
1694,3500,0.724,12,99.4,8999,35.98399012,11.29,1.0039,287.95
1695,3500,0.644,6,99.4,11998,31.1797336,9.88,0.8951,282.35
1696,3500,0.572,0,99.4,15000,24.4574272,8.24,0.7606,276.85
1697,3500,0.527,-4,99.4,17001,20.27125461,7.28,0.6689,272.95
1698,3500,0.485,-8,99.4,18999,17.01595539,6.49,0.5812,269.05
1699,3500,0.446,-12,99.4,21001,14.60705132,5.85,0.4957,265.15
1700,3500,0.410,-16,99.4,22999,12.77498433,5.32,0.4104,261.15
