case_no,rpm,p_amb_bar,t_amb_C,throttle_pct,alt_ft,power_kW,fuelflow_kgh,p_plenum_bar,t_plenum_K
1053,4500,0.812,18,99.4,5997,69.71443158,20.19,1.2766,295.95
1054,4500,0.724,12,99.4,8999,68.53715287,20.09,1.2373,290.15
1055,4500,0.644,6,99.4,11998,66.30058976,20.12,1.1645,284.25
1056,4500,0.572,0,99.4,15000,62.32185788,19.69,1.0792,278.15
1057,4500,0.527,-4,99.4,17001,60.47152958,19.25,1.0313,274.15
1058,4500,0.485,-8,99.4,18999,58.60189607,18.58,0.9802,270.15
1059,4500,0.446,-12,99.4,21001,55.72877895,17.57,0.9182,266.05
1060,4500,0.410,-16,99.4,22999,51.71199179,16.36,0.8445,262.05
1061,4500,1.013,30,98.8,0,71.3981489,21.37,1.2710,307.45
1062,4500,0.908,24,98.8,2999,69.96085208,20.05,1.2854,301.65
1063,4500,0.812,18,98.8,5997,67.37595442,18.99,1.2423,295.85
1064,4500,0.724,12,98.8,8999,65.88325946,18.72,1.1982,290.05
1065,4500,0.644,6,98.8,11998,63.57254,18.69,1.1278,284.15
1066,4500,0.572,0,98.8,15000,60.00493494,18.42,1.0513,278.15
1067,4500,0.527,-4,98.8,17001,58.47813137,18.15,1.0089,274.15
1068,4500,0.485,-8,98.8,18999,56.88421403,17.64,0.9615,270.15
1069,4500,0.446,-12,98.8,21001,54.21287662,16.78,0.9015,266.05
1070,4500,0.410,-16,98.8,22999,50.35170938,15.68,0.8292,262.05
1071,4500,1.013,30,97.4,0,67.51919987,19.57,1.2159,307.35
1072,4500,0.908,24,97.4,2999,65.29307321,17.99,1.2174,301.55
1073,4500,0.812,18,97.4,5997,62.25789426,16.69,1.1636,295.75
1074,4500,0.724,12,97.4,8999,60.09069276,16.07,1.1098,289.95
1075,4500,0.644,6,97.4,11998,57.61875427,15.85,1.0474,284.05
1076,4500,0.572,0,97.4,15000,54.87442317,15.77,0.9915,278.15
1077,4500,0.527,-4,97.4,17001,53.80179874,15.70,0.9597,274.25
1078,4500,0.485,-8,97.4,18999,52.55745617,15.43,0.9187,270.15
1079,4500,0.446,-12,97.4,21001,50.2560593,14.86,0.8625,266.15
1080,4500,0.410,-16,97.4,22999,46.82861658,14.06,0.7936,262.05
1081,4500,1.013,30,94.1,0,58.16037817,16.45,1.0834,307.25
1082,4500,0.908,24,94.1,2999,54.91490028,15.00,1.0601,301.35
1083,4500,0.812,18,94.1,5997,51.82321429,13.88,0.9994,295.65
1084,4500,0.724,12,94.1,8999,48.97643708,13.16,0.9400,289.85
1085,4500,0.644,6,94.1,11998,46.43580979,12.74,0.8968,283.95
1086,4500,0.572,0,94.1,15000,44.26646756,12.42,0.8685,278.15
1087,4500,0.527,-4,94.1,17001,43.00528093,12.18,0.8465,274.35
1088,4500,0.485,-8,94.1,18999,41.57305348,11.86,0.8117,270.55
1089,4500,0.446,-12,94.1,21001,39.63174825,11.48,0.7625,266.45
1090,4500,0.410,-16,94.1,22999,37.12929267,11.03,0.7030,262.45
1091,4500,1.013,30,84.5,0,42.42940539,12.62,0.8587,307.15
1092,4500,0.908,24,84.5,2999,40.48659282,11.80,0.8243,301.25
1093,4500,0.812,18,84.5,5997,37.75838253,10.96,0.7779,295.55
1094,4500,0.724,12,84.5,8999,34.32464717,10.12,0.7225,289.75
1095,4500,0.644,6,84.5,11998,30.6021696,9.22,0.6595,284.05
1096,4500,0.572,0,84.5,15000,26.59775773,8.17,0.5925,278.35
1097,4500,0.527,-4,84.5,17001,23.73033248,7.42,0.5463,274.75
1098,4500,0.485,-8,84.5,18999,21.00121333,6.72,0.5018,271.15
1099,4500,0.446,-12,84.5,21001,18.58846585,6.15,0.4605,267.55
1100,4500,0.410,-16,84.5,22999,16.56885003,5.70,0.4231,263.95
1101,4500,1.013,30,72,0,27.82284236,9.04,0.6993,306.85
1102,4500,0.908,24,72,2999,26.00987435,8.32,0.6439,300.85
1103,4500,0.812,18,72,5997,23.08836697,7.58,0.5740,295.05
1104,4500,0.724,12,72,8999,19.47795796,6.84,0.5029,289.15
1105,4500,0.644,6,72,11998,16.25758128,6.16,0.4410,283.15
1106,4500,0.572,0,72,15000,13.57855883,5.58,0.3884,277.25
1107,4500,0.527,-4,72,17001,11.90749141,5.22,0.3555,273.35
1108,4500,0.485,-8,72,18999,10.32639042,4.90,0.3246,269.25
1109,4500,0.446,-12,72,21001,8.867709906,4.64,0.2967,265.25
1110,4500,0.410,-16,72,22999,7.586033897,4.42,0.2729,261.25
1111,4500,1.013,30,56.5,0,13.01190803,5.84,0.4572,306.85
1112,4500,0.908,24,56.5,2999,11.6642055,5.35,0.4129,300.85
1113,4500,0.812,18,56.5,5997,9.951110991,4.92,0.3728,294.95
1114,4500,0.724,12,56.5,8999,7.692406999,4.47,0.3300,289.05
1115,4500,0.644,6,56.5,11998,5.483582461,4.01,0.2873,283.15
1116,4500,0.572,0,56.5,15000,3.788523653,3.63,0.2525,277.25
1117,4500,0.527,-4,56.5,17001,3.007898021,3.46,0.2349,273.35
1118,4500,0.485,-8,56.5,18999,2.486751652,3.36,0.2221,269.25
1119,4500,0.446,-12,56.5,21001,2.169955398,3.33,0.2137,265.15
1120,4500,0.410,-16,56.5,22999,2.027057769,3.37,0.2095,261.35
1121,5000,1.013,45,100,0,86.66166147,27.64,1.3348,322.65
1122,5000,0.908,39,100,2999,86.51047504,26.98,1.3746,316.95
1123,5000,0.812,33,100,5997,86.52675733,26.81,1.3744,311.15
1124,5000,0.724,27,100,8999,86.45737961,26.91,1.3650,305.25
1125,5000,0.644,21,100,11998,86.38866381,27.49,1.3629,299.35
1126,5000,0.572,15,100,15000,85.1819511,27.44,1.3629,293.35
1127,5000,0.527,11,100,17001,83.51509505,26.81,1.3185,289.35
